Rule	Period	dx	dy	dz	Iterations
DUDURRLRRL	41038	24	24	0	7816315
ULUUULDUL	40900	32	0	0	49812547
DUDRRDDURL	40482	20	20	20	7038400
UDUDDRRURL	40368	28	28	28	5769426
LULDUURDUL	40228	56	0	0	4236567
LLLULDLLUL	40224	34	34	34	5978153
DUDRRUUDUL	40224	26	26	26	5984803
RLDURLRUL	40218	39	39	0	8004772
ULURUUUUL	40108	40	0	0	7659927
LLUURLULUL	40070	45	45	0	4645121
RLULLURULL	40044	52	0	0	9084630
UDRRLUULLL	39852	56	56	56	7781782
DUDUURLL	39534	56	56	56	6161172
RLDDUDRRUL	39492	88	0	0	19752680
UDURRDLUL	39270	42	42	0	7413446
LRLUUURUUL	39220	52	0	0	4418012
DLDDRDDDRL	39210	17	12	1	7858837
LLUDUUULUL	39186	16	16	16	7984634
RLDRRUDULL	39150	20	20	20	24785944
DUDUURLLLL	39124	56	4	2	4341873
RLRUULUL	38660	76	0	0	4810638
UDUUDLUUL	38492	74	0	0	5741159
DUDRRULRLL	38470	45	45	0	5906912
RLRLLUURLL	38310	28	28	28	18523347
RLULUUULL	38268	76	0	0	8894343
UDRRLRUULL	38110	31	31	0	28295264
DDDRRRRRUL	38052	26	0	0	6266438
UDULRULURL	38046	16	16	16	8626811
RLDRRLRUL	37940	68	0	0	5405785
DUDURLLLL	37900	32	0	0	8575702
LLDLDULL	37868	40	0	0	9817322
RLRLRRLULL	37860	38	38	38	40080415
UDURLULDUL	37852	88	0	0	5112135
DULLRUUUUL	37428	70	70	70	3858232
DDUDRRUUUL	37388	52	0	0	7278813
DULUUDLDUL	37188	16	16	16	7736850
DUDLLURLLL	36828	40	0	0	4609210
DUDURLLUUL	36054	40	40	0	5377213
LLUULLRUL	35820	20	20	20	18012986
UUULLRULLL	35532	38	38	38	4622853
DURDDLRLUL	35476	120	0	0	3677822
DULDLLUUUL	35436	12	12	12	11417395
DUDULRULL	35388	48	0	0	6577072
LUUULUUDL	35308	40	0	0	7124532
LRLUUDLDRL	35172	40	0	0	4530384
LRLRDDLDRL	35040	20	20	20	13389945
UUDUUUDLUL	34902	18	18	18	8599701
UDURRLULLL	34828	24	0	0	5766097
UDRDRRDDUL	34560	50	50	50	4090186
LUUDLLLUUL	34516	35	15	8	4759003
